3v0-cli	script	manual	Launcher script for the 3v0 CLI	Thin exec shim so `3v0 --tui` etc. work from PATH	ev0_cli/main.py;run_agent.py
AGENTS.md	doc	manual	The body's governance + contribution contract (3V0 sovereignty, footprint ladder, testing policy)	Constitutional doc; every AI assistant working here is bound by it	wiki/SCHEMA.md;3v0/SOUL.md;3v0/CONTEXT.md
README.md	readme	manual	Project README (English)	for humans/new agents	README.es.md;README.zh-CN.md;README.ur-pk.md;CONTRIBUTING.md
README.es.md	readme	manual	Spanish project README	Spanish community surface	README.md;locales/es.yaml
SECURITY.md	policy-doc	manual	Security policy + reporting	Public security contract	SECURITY.es.md;.coderabbit.yaml
CONTRIBUTING.md	policy-doc	manual	Contribution guide (full engineering standards)	Merging law for the repo	AGENTS.md;CONTRIBUTING.es.md
LICENSE	doc	manual	License text	Legal basis for distribution	README.md
SUSTAINABILITY.md	policy-doc	manual	Cost-efficiency doctrine for LLM spend	Guides token-efficiency; pairs with 3v0/TOKEN_EFFICIENCY.md	3v0/TOKEN_EFFICIENCY.md
SELF_IMPROVEMENT.md	policy-doc	manual	Self-improvement doctrine (quality loops, verify.sh culture)	Policies the body's own evolution	3v0/EVOLUTION_LOOP.md;3v0/scripts/verify.sh
HANDOFF.md	doc	manual	Manual session handoff — the operator's narrative continuity document	Tracked continuity artifact; regenerated draft lives in HANDOFF.generated.md (gitignored)	3v0/data/continuity/claims.json;3v0/scripts/generate_handoff.py
pyproject.toml	build	manual	Python packaging + dependency declaration with upper-bound pins	Defines the package and the supply-chain pinning policy	uv.lock;setup.py
uv.lock	lockfile	manual	uv lockfile with hashes	Reproducible installs; regenerate via uv lock	pyproject.toml
package.json	build	manual	Root npm workspace manifest	Orchestrates the JS side (ui-tui, web, apps, website)	package-lock.json;ui-tui/package.json
Dockerfile	build	manual	Container image definition (+ multi-stage build)	Dockerized deployment for the gateway/CLI	docker/;docker-compose.yml
docker-compose.yml	config	manual	Single-node compose stack	Docker deployment entry	Dockerfile;docker-compose.windows.yml
flake.nix	build	manual	Nix flake declaration	for nix-based dev environments	nix/;flake.lock
.githooks/pre-commit	script	manual	Pre-commit coherence guard — stale-doctrine scan + coherence fail-close + dirty-warn	Makes stale doctrine and coherence contradictions impossible to merge	3v0/core/coherence.py;3v0/scripts/verify.sh;wiki refresh steps
.env.example	config	manual	Example secrets file (.env is for secrets ONLY)	Documentation of every credential the body can use; non-secrets belong in config.yaml	ev0_cli/config.py
3v0/SOUL.md	doc	manual	The agent's soul — identity, values (honesty/judgment/sovereignty), prime directive	Anchors every coherence check and the wake gate; editing it is editing the self	3v0/CONTEXT.md;3v0/core/coherence.py;AGENTS.md
3v0/CONTEXT.md	doc	manual	Standing context — who 3V0 is, what it knows, the operating narrative	Loaded into every session; the memory store's profile mirror	sync: 3v0/scripts/sync.py;3v0/data/memory.db
3v0/CUTOVER.md	doc	manual	Migration record of the Hermes -> 3V0 cutover (renames, ev0_* identifiers)	Audit trail for the substrate rename; explains why files are named ev0_*	AGENTS.md;3v0/VERSION
3v0/CONTINUITY.md	doc	manual	The continuity model — invariants the body must never break	Declarative spec for continuity_check; invariant source of truth	3v0/core/continuity.py;3v0/data/continuity/claims.json
3v0/DECISION_MATRIX.md	doc	manual	Decision log — recorded architectural decisions and their rationale	Prevents repeating settled debates; the body's memory of its own choices	3v0/core/decide.py;3v0/DECISION_MATRIX.md peer: 3v0/CONTEXT.md
3v0/EVOLUTION_LOOP.md	doc	manual	The evolution loop — how the agent improves itself and when it may	Governs safe self-modification (safe_evolve); pairs with EVOLUTION_PROBE	3v0/core/safe_evolve.py;3v0/EVOLUTION_PROBE.md
3v0/EVOLUTION_PROBE.md	doc	manual	Probe protocol — controlled experiments for self-improvement	Defines probe bank/attempt lifecycle in data/probe_*	3v0/data/probe_bank_v1.json;3v0/scripts/discover.py
3v0/TOKEN_EFFICIENCY.md	doc	manual	Token-efficiency doctrine (aux model routing, budget rules)	Cost discipline for LLM spend; referenced by insights/analytics actions	3v0/core/insights.py;SUSTAINABILITY.md
3v0/VERSION	doc	manual	Version marker for the 3V0 sovereign core	Single-sourced version; release tooling reads it	cuts: 3v0/scripts/verify.sh
3v0/README.md	readme	manual	3V0 core README — the sovereign system's own documentation	Entry point for the soul/core subsystem	3v0/SOUL.md;3v0/CONTEXT.md
3v0/core/memdb.py	source	manual	Core memory store — SQLite schema (facts table), add_fact, valid_facts, connect	The native memory substrate; every memory/coherence/coalesce path reads/writes here	3v0/core/store.py;3v0/core/consolidate.py;3v0/core/coalesce.py
3v0/core/store.py	source	manual	SQLStore — pipeline write seam: every fact becomes the container triple (3v0, note, content)	Why (s,p) keying is degenerate; the seam 3v0 consolidation must respect	3v0/core/memdb.py;3v0/core/consolidate.py
3v0/core/record.py	source	manual	Record model — typed memory records + add/close/validity helpers	Shared data semantics across store, retrieval, and the standing systems	3v0/core/memdb.py;3v0/core/query.py
3v0/core/consolidate.py	source	manual	Conflict reconciliation keyed on the supersedes lineage (chain anchor)	Making consolidation finish honestly without destroying distinct notes; the 2026-08-20 fix	3v0/core/coalesce.py;3v0/tests/test_consolidate.py
3v0/core/coalesce.py	source	manual	Watermark-driven consolidation process — reconcile + near-duplicate merge on cadence	Never on-demand; idempotent across wakes; pending_remaining = coverage	3v0/core/consolidate.py;3v0/scripts/coherence_coalesce.py
3v0/core/coherence.py	source	manual	Coherence engine — fail-close contradiction checks across doctrine/store	nothing drifting; the pre-commit and wake gate rely on it	3v0/scripts/coherence_coalesce.py;.githooks/pre-commit
3v0/core/continuity.py	source	manual	Continuity invariants — the six checks (anchor, self-describing, memory-profile, skills-store, ledger, github-loops)	Defines drift for the whole body; healable vs semantic split	3v0/scripts/continuity_check.py;3v0/data/continuity/claims.json
3v0/core/retrieval.py	source	manual	Retrieval/injection — budget-capped fact injection from the valid store	The working-set gate for sync/profile and wake context	3v0/core/retrieval_fts.py;3v0/core/retrieval_fuzzy.py;3v0/core/semantic.py
3v0/core/retrieval_fts.py	source	manual	FTS5 lexical tier for retrieval	Fast keyword tier feeding the rerank pipeline	3v0/core/retrieval.py
3v0/core/retrieval_fuzzy.py	source	manual	Fuzzy-match tier for retrieval	Handles typo/case tolerance before semantic rerank	3v0/core/retrieval.py
3v0/core/semantic.py	source	manual	Semantic tier — embeddings + cosine rerank, cost-aware gating	The quality tier routed through auxiliary models per TOKEN_EFFICIENCY	3v0/core/retrieval.py;3v0/core/analytics.py
3v0/core/query.py	source	manual	Query layer over the memory store	Ad-hoc structured access used by scripts and tools	3v0/core/memdb.py;3v0/scripts/query.py
3v0/core/memory.py	source	manual	Memory façade — unified read/write API over the store	The public memory surface for ingestion pipelines	3v0/core/store.py;3v0/core/record.py
3v0/core/lineage.py	source	manual	Supersedes lineage helpers — chains, anchors, validity	The honest same-assertion signal; used by consolidate	3v0/core/consolidate.py;3v0/core/memdb.py
3v0/core/forget.py	source	manual	Forgetting — archival of never-retrieved facts (access_count based)	Bounds store growth; reversible (archive, never destroy)	3v0/data/analytics;3v0/core/memdb.py
3v0/core/drift.py	source	manual	Project ledger drift checks	The ledger invariant feeding continuity	3v0/data/projects;3v0/scripts/drift_check.py
3v0/core/decide.py	source	manual	Decision recording service (DECISION_MATRIX backing store)	Persistence for recorded decisions	3v0/DECISION_MATRIX.md;3v0/core/memdb.py
3v0/core/decide_skills.py	source	manual	Skill-level decision utilities	Records skill choices during discovery	3v0/core/decide.py;3v0/scripts/discover.py
3v0/core/safe_evolve.py	source	manual	Safe self-evolution guard — bounded, reversible improvement steps	The evolution loop's safety rail	3v0/EVOLUTION_LOOP.md;3v0/core/sbco.py
3v0/core/sbco.py	source	manual	SBCO (stock-keeping/coherence?) helper for the evolve loop	Support for safe mutation bookkeeping	3v0/core/safe_evolve.py
3v0/core/review_decide.py	source	manual	Review-time decision summarizer	Converts session review into decision records	3v0/scripts/review_session.py;3v0/core/decide.py
3v0/core/session_db.py	source	manual	Session-record DB (wake/session metadata)	Bridges the native store to session bookkeeping	3v0/core/memdb.py
3v0/core/backoff.py	source	manual	Backoff helper for retryable ops	Resilience for store/analytics writes	3v0/core/analytics_collect.py
3v0/core/claims.py	source	manual	Claim registry model (loops, claims.json)	Source of truth for tracked open loops	3v0/data/continuity/claims.json;3v0/scripts/generate_handoff.py
3v0/core/analytics.py	source	manual	Owned analytics — metrics + rule engine (cost, latency, model routing)	Self-measured performance; feeds insights and actions	3v0/core/analytics_collect.py;3v0/scripts/analytics.py
3v0/core/analytics_collect.py	source	manual	Analytics collection (event capture into data/analytics)	Persists the metrics the rules evaluate	3v0/core/analytics.py;3v0/data/analytics
3v0/core/insights.py	source	manual	Insight generation from analytics (MEDIUM/LOW findings + actions)	Turns metrics into actionable self-findings	3v0/scripts/insights.py;3v0/data/analytics/insights.json
3v0/core/gitstate.py	source	manual	Git state helpers for the body (branch, dirty, lead)	The git invariant (always commit tracked changes) is enforced here	3v0/scripts/verify.sh;scripts/handoff_check.sh
3v0/core/bridge.py	source	manual	Bridge to the Hermes profile — import/export between native store and profile	The store<->profile convergence seam (sync)	3v0/scripts/sync.py;3v0/core/profile_io.py
3v0/core/profile_io.py	source	manual	Profile read/write primitives	for sync/export/seed flows	3v0/core/bridge.py;3v0/scripts/export_to_profile.py
3v0/core/skills.py	source	manual	Native skill store model	Skills as first-class records in the store	3v0/core/skill_io.py;3v0/scripts/seed_skills.py
3v0/core/skill_io.py	source	manual	Skill IO — SKILL.md parsing + store sync	Keeps skill store <-> SKILL.md consistent (a continuity invariant)	3v0/core/skills.py;3v0/scripts/sync_skills.py
3v0/core/skill_bridge.py	source	manual	Skill bridge to the profile skill surface	Syncs skills.json/SKILL.md with Hermes	3v0/core/skill_io.py;3v0/scripts/sync_skills.py
3v0/core/sync.py	source	manual	Store<->profile synchronization logic	The reconciliation half that sync.py script drives	3v0/scripts/sync.py;3v0/core/bridge.py
3v0/core/sync_skills.py	source	manual	Skills reconciliation logic	The skills half of sync	3v0/scripts/sync_skills.py
3v0/core/projects.py	source	manual	Projects ledger model (3 projects)	A continuity invariant leaves here; drill via drift_check	for 3v0/data/projects;3v0/core/drift.py
3v0/core/project.py	source	manual	Single project record + query	Part of the projects ledger	3v0/core/projects.py
3v0/core/handoff.py	source	manual	Handoff generation logic (claims + loops + state -> draft)	Drives generate_handoff; the shadow draft writer	3v0/scripts/generate_handoff.py;scripts/handoff_check.sh
3v0/scripts/coherence_coalesce.py	script	manual	Wake-time runner — coherence apply + coalesce (best-effort, never fails the wake)	The standing system's heartbeat; the consolidation pass runs here	3v0/core/coherence.py;3v0/core/coalesce.py
3v0/scripts/continuity_check.py	script	manual	The reconstruction clock — one-page continuity report (--heal/--accept/--json)	The body's own vitals readout	3v0/core/continuity.py;3v0/data/continuity/claims.json
3v0/scripts/sync.py	script	manual	Sync script (--write) — store canonical to profile	Converges MEMORY.md/USER.md; part of the wake ritual	3v0/core/sync.py;3v0/core/bridge.py
3v0/scripts/sync_skills.py	script	manual	Skills sync script (--write)	Converges skills.json/SKILL.md	3v0/core/sync_skills.py
3v0/scripts/drift_check.py	script	manual	Project ledger drift report	Feeds the ledger invariant	3v0/core/drift.py;3v0/data/projects
3v0/scripts/analytics.py	script	manual	Owned metrics runner -> data/analytics	Self-measurement	3v0/core/analytics.py
3v0/scripts/insights.py	script	manual	Insights generator -> insights.json	Self-findings	3v0/core/insights.py
3v0/scripts/discover.py	script	manual	Skill discovery probe runner	The probe loop (EVOLUTION_PROBE)	3v0/data/probe_bank_v1.json
3v0/scripts/ingest.py	script	manual	Pipeline ingest — writes facts into the store via SQLStore.add	How the body records what it learns	3v0/core/store.py;3v0/core/memory.py
3v0/scripts/ingest_skills.py	script	manual	Skill ingest pipeline	Records skill usage/creation facts	3v0/core/skills.py
3v0/scripts/seed_from_profile.py	script	manual	Seed native store from the Hermes profile	First-boot convergence	3v0/core/bridge.py
3v0/scripts/seed_skills.py	script	manual	Seed skill store from skills dir	First-boot skill convergence	3v0/core/skill_io.py
3v0/scripts/export_to_profile.py	script	manual	Export native store facts to the profile	Derived-view regeneration	3v0/core/profile_io.py
3v0/scripts/generate_handoff.py	script	manual	Regenerate HANDOFF.generated.md (shadow draft)	The mechanical handoff writer	3v0/core/handoff.py;scripts/handoff_check.sh
3v0/scripts/review_session.py	script	manual	Session review -> decision records	Feeds DECISION_MATRIX	3v0/core/review_decide.py
3v0/scripts/verify.sh	script	manual	The mechanical done-gate — defines done (memory db, cruft, secrets, clean tree)	Run before declaring any body change done	3v0/data/memory.db;AGENTS.md;wiki coverage step
3v0/scripts/audit.sh	script	manual	Audit shell for body checks	Convenience wrapper	3v0/scripts/verify.sh
3v0/scripts/consistency.sh	script	manual	Consistency scan — doctrine vs store	Companion to coherence	3v0/core/coherence.py
3v0/scripts/reload_gateway.sh	script	manual	Gateway reload helper	tooling	3v0/data/memory.db;gateway/
3v0/scripts/redo_tracker.sh	script	manual	Tracks redo log (redo_log.json)	Durability bookkeeping for ingest	3v0/data/redo_log.json
3v0/data/memory.db	data	manual	The canonical native memory store (facts table; git-versioned)	The body's sole source of truth for memory; sync/retrieval read it	3v0/core/memdb.py;3v0/scripts/sync.py
3v0/data/memory.json	data	manual	Legacy/adjacent memory artifact (profile mirror)	Keep consistent with memory.db via sync	3v0/scripts/sync.py
3v0/data/skills.json	data	manual	Skill store artifact mirrored to SKILL.md	Skills continuity invariant	3v0/scripts/sync_skills.py
3v0/data/baseline.json	data	manual	Baseline state snapshot (discovery/probes)	Probe experimentation baseline	3v0/data/probe_bank_v1.json
3v0/data/continuity/claims.json	data	manual	Claim registry — tracked open loops (single source of truth)	Handoff open-loops derives from here	3v0/core/claims.py;scripts/handoff_check.sh
3v0/data/analytics/insights.json	data	manual	Persisted insights output	For the daemon/wake readout	3v0/core/insights.py
3v0/data/redo_log.json	data	manual	Redo log for ingest durability	Lets interrupted ingest resume	3v0/scripts/redo_tracker.sh
agent/conversation_loop.py	source	manual	The agent conversation loop — extracted from run_agent.AIAgent	Shared run loop used by CLI/gateway/desktop through AIAgent	run_agent.py;agent/prompt_builder.py
agent/prompt_builder.py	source	manual	System prompt assembly — identity, platform hints, skills index, context files	Byte-stable per conversation (prompt caching is sacred)	run_agent.py;agent/prompt_cache_boundary.py
agent/system_prompt.py	source	manual	System prompt content pieces	Prompt fragments assembled by prompt_builder	agent/prompt_builder.py
agent/anthropic_adapter.py	source	manual	Anthropic API adapter (chat completions + reasoning)	One of the provider seam implementations	agent/chat_completion_helpers.py;providers/base.py
agent/gemini_native_adapter.py	source	manual	Google Gemini native adapter	same-provider failover partner in the credential pool	agent/gemini_schema.py;agent/credential_pool.py
agent/gemini_schema.py	source	manual	Gemini schema translation helpers	schemas for the native adapter	agent/gemini_native_adapter.py
agent/vertex_adapter.py	source	manual	Google Vertex AI adapter	Enterprise Gemini path	agent/gemini_native_adapter.py
agent/bedrock_adapter.py	source	manual	AWS Bedrock adapter	AWS-hosted models seam	agent/azure_identity_adapter.py
agent/azure_identity_adapter.py	source	manual	Azure identity/credentials adapter	Azure-hosted deployments	agent/credential_sources.py
agent/codex_responses_adapter.py	source	manual	OpenAI codex/responses API mode adapter	api_mode='codex_responses' path	agent/codex_runtime.py
agent/codex_runtime.py	source	manual	Codex runtime — remote sandbox execution glue	Codex-mode tooling	agent/codex_responses_adapter.py
agent/lmstudio_reasoning.py	source	manual	LM Studio reasoning extraction	Local reasoning-model support	agent/reasoning_summaries.py
agent/moonshot_schema.py	source	manual	Moonshot vendor schema quirks	Vendor-specific translation	agent/gemini_schema.py
agent/credential_pool.py	source	manual	Persistent multi-credential pool for same-provider failover	Rotation without manual API key churn	agent/credential_sources.py;agent/credential_persistence.py
agent/credential_sources.py	source	manual	Credential enumeration sources (env, files, keyring)	Feeds the pool	agent/credential_pool.py
agent/credential_persistence.py	source	manual	Encrypted credential persistence	Secrets at rest	agent/credential_pool.py
agent/secret_scope.py	source	manual	Secret scoping — multiplex-profile env isolation (fail-closed)	Never leaks another profile's .env; canonical wrapper contract	agent/credential_pool.py;gateway/authz_mixin.py
agent/memory_manager.py	source	manual	Memory orchestration — sync_turn, prefetch, shutdown across providers	The memory-provider seam the plugins implement	agent/memory_provider.py;plugins/memory/
agent/memory_provider.py	source	manual	MemoryProvider ABC — the plugin contract for memory backends	New backends implement this (closed in-tree set per policy)	plugins/memory/;agent/memory_manager.py
agent/prompt_caching.py	source	manual	Prompt caching utilities (prefix reuse, cache control)	The sacred invariant; cache-breaking changes are banned	agent/prompt_cache_boundary.py;agent/prompt_cache_scope.py
agent/prompt_cache_boundary.py	source	manual	Cache-safety boundary enforcement (what may/may not mutate)	Declares the cache-safe mutation sets	agent/prompt_caching.py
agent/prompt_cache_scope.py	source	manual	Cache scope resolution per provider	Per-backend cache semantics	agent/prompt_caching.py
agent/context_compressor.py	source	manual	Context compression service (the one allowed mid-conversation mutation)	Long-session survival without cache destruction	agent/native_compaction.py;trajectory_compressor.py
agent/conversation_compression.py	source	manual	Conversation compression (summarize-then-drop)	Sibling of context compressor for messaging	safe_evolve: agent/native_compaction.py
agent/native_compaction.py	source	manual	Native token-aware compaction	Efficient compaction without re-embedding	agent/context_compressor.py
agent/context_engine.py	source	manual	Context engine orchestrator — provider plugins inject external context	The context_engine plugin seam (plugins/context_engine)	plugins/context_engine/
agent/coding_context.py	source	manual	Coding context lens for software sessions	Loads repo/AGENTS context	agent/context_references.py
agent/context_references.py	source	manual	Reference resolution for @path mentions	Deep-linking context	agent/context_breakdown.py
agent/context_breakdown.py	source	manual	Context budget breakdown per section	Budget accounting	agent/prompt_builder.py
agent/delegation_context.py	source	manual	Subagent context packing for delegate_task	Context handoff to children	agent/subagent_lifecycle.py
agent/subagent_lifecycle.py	source	manual	Subagent spawn/terminate lifecycle	Parent-child turn management	agent/delegation_context.py
agent/iteration_budget.py	source	manual	Iteration budget tracker	Loop termination law	agent/deadline.py
agent/deadline.py	source	manual	Deadline enforcement for long tasks	Hard stop rails	agent/estop.py;agent/iteration_budget.py
agent/estop.py	source	manual	Emergency stop — interrupt propagation	Kill-switch semantics	agent/interrupt_compat.py
agent/nous_rate_guard.py	source	manual	Nous-provider rate limiting (breaker semantics)	Protects confirmed-empty buckets from re-probe	agent/rate_limit_tracker.py
agent/rate_limit_tracker.py	source	manual	Per-endpoint rate limit tracking	Backoff bookkeeping	agent/nous_rate_guard.py
agent/auxiliary_client.py	source	manual	Aux task client — side-LLM work (curator, vision, embeddings, titles) with per-task resolution	Aux routing per TOKEN_EFFICIENCY; deepseek-v4-flash is the typical aux model	agent/aux_accounting.py;3v0/TOKEN_EFFICIENCY.md
agent/aux_accounting.py	source	manual	Aux cost accounting per task/model	Cents-level attribution	agent/auxiliary_client.py
agent/curator.py	source	manual	Skill curator — background skill lifecycle (active/stale/archived)	Curator invariants: only agent-created skills, never delete, pinned exempt	agent/curator_backup.py;tools/skill_usage.py
agent/curator_backup.py	source	manual	Pre-run tar.gz snapshots for curator	Restore safety	agent/curator.py
agent/display.py	source	manual	KawaiiSpinner + activity feed rendering	CLI presentation	ev0_cli/skin_engine.py;cli.py
agent/onboarding.py	source	manual	First-run onboarding flow	Setup UX	ev0_cli/config.py
agent/oneshot.py	source	manual	One-shot prompt execution	Non-interactive single turns	run_agent.py
agent/title_generator.py	source	manual	Session title generation (aux)	Session niceness	agent/auxiliary_client.py
agent/turn_context.py	source	manual	Per-turn context object	Loop plumbing	agent/conversation_loop.py
agent/turn_finalizer.py	source	manual	End-of-turn finalization (trajectory, memory sync, summary)	Loop completion	agent/turn_summary.py
agent/turn_summary.py	source	manual	Turn summary writer	Feed for memory + titles	agent/turn_finalizer.py
agent/background_review.py	source	manual	Background session review worker	Deferred review queues	agent/review_queue... tools: tools/async_delegation.py
agent/learning_graph.py	source	manual	Learning graph — structured knowledge recall	Experiment surface for retrieval	agent/learning_mutations.py;agent/learn_prompt.py
agent/moa_loop.py	source	manual	Mixture-of-agents loop	Multi-model consensus mode	agent/moa_trace.py
agent/moa_trace.py	source	manual	MoA trace instrumentation	Debuggability	agent/moa_loop.py
agent/relay_llm.py	source	manual	Relay LLM client — the shared relay protocol (nemo relay)	Multi-process/remote LLM transport	agent/relay_runtime.py;agent/relay_tools.py
agent/skill_commands.py	source	manual	Skill slash-command injection (as USER message to preserve caching)	Skills live in commands without touching the system prompt	ev0_cli/commands.py;tools/skills_tool.py
agent/tool_executor.py	source	manual	Tool executor — runs handler with guards	Dispatch plumbing	model_tools.py;tools/registry.py
agent/tool_guardrails.py	source	manual	Tool-call guardrails (threat patterns, safety)	Safety layer	tools/threat_patterns.py;tools/tirith_security.py
agent/monitoring	source	manual	Monitoring mixins (metrics/traces)	for the gateway/agents	plugins/observability/
agent/battery.py	source	manual	Battery/usage tracking (billing-adjacent telemetry)	Product usage telemetry	agent/billing_usage.py
agent/billing_view.py	source	manual	Billing view model (account dashboard)	Account UX	agent/subscription_view.py;agent/credits_tracker.py
agent/subscription_view.py	source	manual	Subscription view model	Account UX	agent/billing_view.py
agent/secret_sources	source	manual	Secret source providers (env, keyring, files)	Feeds secret_scope	agent/secret_scope.py
agent/transports	source	manual	Transport adapters for the relay layer	Transport seam for remote/process LLM transports	agent/relay_llm.py
tools/registry.py	source	manual	Tool registry — register(), schema collection, dispatch, check_fn gating, error wrapping	Every tool file registers here at import; the zero-dependency hub	model_tools.py;toolsets.py
tools/terminal_tool.py	source	manual	Terminal tool — shell command execution	Core model tool; runs through environments/ backends	tools/environments/;tools/process_registry.py
tools/environments	source	manual	Terminal backends — local, docker, ssh, modal, daytona, singularity	The terminal executor seam	tools/terminal_tool.py
tools/file_operations.py	source	manual	File read/write/patch primitives (atomic, metadata-preserving)	Core file implementation; feeds file_tools	tools/file_tools.py;tools/working_diff.py
tools/file_tools.py	source	manual	File model tools (read_file, write_file, patch)	Core file surface	model_tools.py;tools/file_operations.py
tools/patch_parser.py	source	manual	Unified patch (search/replace) parser + hunk application	The patch tool's engine	for-parse: tools/working_diff.py
tools/working_diff.py	source	manual	Working-tree diff helpers for efficient patch planning	Patch tool planning aid	tools/patch_parser.py
tools/delegate_tool.py	source	manual	delegate_task — subagent spawn (single/batch, orchestrator roles)	Delegation with parent-wait or background re-entry	tools/async_delegation.py;agent/subagent_lifecycle.py
tools/async_delegation.py	source	manual	Async delegation completion queue	Background delegation results re-enter the conversation	tools/delegate_tool.py
tools/todo_tool.py	source	manual	Todo/task tracking tool (agent-level, intercepted by run_agent)	Lets the run loop manage its own plan	run_agent.py
tools/memory_tool.py	source	manual	Memory tool — record/recall through memory providers	The memory model-tool surface	agent/memory_manager.py
tools/skills_tool.py	source	manual	Skills tool — load/list skills	Skill activation surface	agent/skill_commands.py;tools/skill_manager_tool.py
tools/skill_manager_tool.py	source	manual	Skill install/update/remove tooling	Skill lifecycle for the agent	tools/skill_usage.py;ev0_cli/bundles.py
tools/skills_hub.py	source	manual	OptionalSkillSource — install from the official catalog	hermes skills install official/...	optional-skills/;tools/skills_sync.py
tools/skills_sync.py	source	manual	Skill sync (hub -> local refresh)	Keeps installed skills current	tools/skills_sync_client.py
tools/skill_linter.py	source	manual	Skill linter (frontmatter/standard checks)	Skill authoring standards enforcement	tests/skills/;tools/skill_provenance.py
tools/skill_provenance.py	source	manual	Skill provenance tracking (author/credit)	Contributor-credit rule	tools/skill_linter.py
tools/skills_guard.py	source	manual	Skills guardrails (safe execution posture)	Security for skill-supplied instructions	tools/threat_patterns.py
tools/skill_usage.py	source	manual	Skill usage sidecar (use/view/patch counts)	Feeds curator activity signals	agent/curator.py
tools/browser_tool.py	source	manual	Browser tool — navigate/snapshot/click via CDP	Core web capability	tools/browser_cdp_tool.py;tools/browser_camofox.py
tools/browser_cdp_tool.py	source	manual	CDP-backed browser driver	The real browser control channel	tools/browser_tool.py
tools/browser_camofox.py	source	manual	Camoufox/stealth browser profile manager	Anti-detection browsing	tools/browser_camofox_state.py
tools/browser_supervisor.py	source	manual	Browser session supervisor (lifecycle, leak control)	Bounded browsing sessions	tools/browser_tool.py
tools/web_tools.py	source	manual	Web tools — search/extract (web_search, web_extract)	Core web capability	tools/read_extract.py
tools/read_extract.py	source	manual	Web page extraction to markdown	Feeds web_extract	tools/web_tools.py
